noticeIdentifier,noticeVersion,lotIdentifier,suitableForSMEs
abae6b4a-5a2e-4a62-a6e8-61a0d99ac0f0,01,LOT-0000,
eb6cb358-277f-463a-a7b6-10419bb6b2b5,01,LOT-0001,
ba79a82e-ba20-40d5-a701-698daf07eeb9,01,LOT-0000,
892cd313-409d-4d28-89fb-e9c5c15b141b,01,LOT-0000,
e4219d9f-af23-4f38-8d05-842a51bb2395,01,LOT-0000,
358aa36b-0b4d-406d-b3f0-3823146a9ea6,01,LOT-0001,True
81ef8785-328d-45a5-aa26-05b430f1424f,01,LOT-0000,True
005970e4-fa83-4d72-b88d-6b8acfe47c4a,01,LOT-0000,False
7cba3224-ed9b-4557-912a-b89e03238035,01,LOT-0001,
7cba3224-ed9b-4557-912a-b89e03238035,01,LOT-0002,
eccaf8a7-61f2-4d8b-b5b5-46950178c568,01,LOT-0000,True
ead3b499-cf64-4888-823d-7737ad787045,01,LOT-0000,
40a54a1a-4422-4c9b-b817-9b085061ad44,01,LOT-0000,False
9b92da70-5f05-4da6-8f36-63c00ccc4bfd,01,LOT-0001,
7bbe3e4a-e8f3-4ce7-8fac-f9899a31ebc0,01,LOT-0001,
415228ba-c998-4c5b-a88e-4badc9d2e4dc,01,LOT-0000,
01a0a3dd-0de3-4c82-9bff-894ee83e347d,01,LOT-0001,
125814cb-3fd3-45fb-8ee4-1940fc409986,01,LOT-0001,False
a673c7df-5a09-4230-a1f0-8c32c383c6a7,01,LOT-0001,
5136b73e-1a8c-4623-ba6e-68446d10b433,01,LOT-0000,True
63ced94b-e3ff-42f0-9b7c-b0a68e642465,01,LOT-0001,
4e2efa0e-8630-465b-beb5-fe2dc2e116e2,01,LOT-0001,
